id,zh_CN,en,ja
test01,"有一个鸟的模型，仔细一看，身后还有一个凸起的按钮","Upon closer inspection ,the bird model has a protruding button on its back.",鳥の模型があり、よく見ると背中に突起したボタンがあります。
test02,鸟的模型,"bird model",鳥の模型
test03,凸起的按钮,"a protruding button",突起したボタン
test04,这是什么种类的鸟呀，一身蓝色的羽毛，好好看,"What kind of bird is this? It has blue feathers and looks beautiful.",これはどんな種類の鳥ですか？青い羽毛があり、とても美しいです。
test05,按下按钮,"Press the button",ボタンを押す
test06,算了,"Forget it",やめておきます
test07,（正在播放音乐）,"(Playing music)",（音楽が再生中）
test08,这是按钮有什么用，要尝试按下吗？,"What is the purpose of this button? Should I try pressing it?",このボタンは何のためですか？押してみますか？
test09,原来是一个八音盒呀,"So, it's a music box.",なるほど、これはオルゴールですね。
test10,其他好像没啥异常了,"Everything else seems normal.",他には特に異常はないようです。
musicbox_00,"观察","",
musicbox_01,"有一个鸟模型的八音盒，按下身后按钮可以播放音乐","",
musicbox_01_kwd01,"八音盒","",
musicbox_01_kwd02,"按钮","",
musicbox_01_kwd02_r1,"没有反应……","",
musicbox_02,"八音盒的底部有电池仓盖，淡淡标识着AA字样","",
musicbox_02_kwd01,"电池仓盖","",
musicbox_02_kwd01_r1,"打开盖子","",
musicbox_02_kwd01_r2,"无法打开，电池仓盖被小螺丝固定住了","",
musicbox_02_kwd01_r3,"电池盖子被打开了","",
musicbox_02_kwd02,"AA字样","",
musicbox_02_kwd02_r1,"啊～这个AA表示是普通的5号电池吧！","",
musicbox_02_kwd02_r2,"那这里的电池，应该可以放到手电筒里使用","",
musicbox_03,"周围被4颗小螺丝固定住了","",
musicbox_03_kwd03,"小螺丝","",
musicbox_03_kwd03_r1,"为什么要用螺丝固定呀，难不成设计师有什么强迫症？","",
musicbox_03_kwd03_r2,"螺丝被拆除了","",
sys_startponder,开始思考,To ponder,考える
sys_ponder,思考,Ponder,考える
sys_item,物品,Item,物品
sys_exit,退出,Exit,戻る
save_point01,"有一面镜子，里面映出了我。","",
save_point02,"（这里可以存档）","",
libsurvey01,地上有一本书,,
libsurvey02,拿起来,,
libsurvey03,书的封面已经被撕破了,,
libsurvey06,"书和书的夹缝之间好像有什么东西？","",
libsurvey07,"拿出来","",
flashlight01,"手电筒打开不亮，不知道哪里故障了","",
flashlight02_keyword,"故障","",
flashlight03,"尝试打开手电筒，发现里面缺少电池,\n看尺寸应该是AA型号的电池","",
flashlight04,"深入思考一下，也许能找出故障的原因","",
file_aboutscar_title,关于蔷薇馆的传闻,,
file_aboutscar_01,"在降魔山这一带，有一个传说。\n传说山中住着一个吸血鬼，她会趁着夜色下山抓走村子里的小孩。\n此时，\n来自外乡的旅人兄弟，正站在了降魔山的顶峰，他们准备一跃而下，结束自己的生命。\n因为生意上的失败，他们俩已经负债累累，走投无路。 \n但最终他们没有这个勇气，回过神来已经在下山的路上了。",,
file_aboutscar_02,"忽如其来的暴雨浸湿了兄弟俩的衣服，冻得他们瑟瑟发抖。\n模糊的雨雾中，他们发现了一座深山中的洋馆。\n他们敲开了洋馆的大门，出来迎接的是一位美丽的少女。\n少女邀请兄弟两进屋躲雨，并用咖啡和蛋糕热情地款待了他们。\n兄弟俩坐在柔软的沙发上，望着四周的金碧辉煌。\n他们低声交谈，眼中闪烁着贪婪的光芒。",,
file_aboutscar_03,"告别了少女，兄弟俩回到了山下的村子里。\n在村中的酒馆中，与众人吹嘘着自己在山上的见闻。\n描述着洋馆中的金碧辉煌和金山银山。",,
file_aboutscar_04,"不知不觉，兄弟俩开始一唱一和编造谎言，\n谎称住在洋馆里的少女是这一带传说的吸血鬼。\n而村民们也被蛊惑，一起跟着浩浩荡荡的上山讨伐吸血鬼。\n兄弟俩依靠模糊的记忆找到了洋馆。","",
file_aboutscar_05,"他们破开大门，一窝蜂地冲入洋馆内部，抢夺了肉眼可见的所有金银财宝。\n并且为了掩盖罪行，他们将少女和洋馆里的几个佣人推到了洋馆的后院小屋中。\n一把火点燃了洋馆，火焰迅速蔓延，将整个洋馆吞噬。\n而少女和佣人们也被关在小屋内，活活烧死。","",
libsurvey04,"这个故事，好像在哪里看过？\n啊，头好疼——","",
libsurvey05,"刚才的是……\n是晓翼吗？","",
memory1_chat_01,"原来你躲在这里呀，找了你好久呀","",
memory1_chat_02,"可恶... 真的很无语。咳咳","",
memory1_chat_03,"你拆手电筒里的电池干什么呀\n不会要恶作剧吧","",
memory1_chat_05,"不用你管，咳咳，走开！","",
memory1_chat_06,"怎么这么生气呀，我知道了... \n是因为昨晚不睡觉看小说被程医生逮个正着的原因吧","",
memory1_chat_04,"你也别太生气，程医生也是为你好。\n你看，你咳嗽还那么严重，还熬夜那么晚。","",
memory1_chat_10,"你今晚就早点去睡觉吧","",
memory1_chat_11,"等下呀，我还有话……","",
memory1_chat_14,"额，需要帮忙吗？","",
memory1_chat_13,"晓翼，你真的很烦人","",
memory1_chat_15,"走开！","",
memory1_chat_16,"礼诗...","",
zawuhourse_01,"这里有一个工具箱","",
zawuhourse_02,"打开","",
zawuhourse_03,"箱子里有很多工具，\n有钳子、扳手、螺丝刀、卷尺、榔头、一捆5号电池","",
zawuhourse_03_keyword01,"钳子","",
zawuhourse_03_keyword02,"扳手","",
zawuhourse_03_keyword03,"螺丝刀","",
zawuhourse_03_keyword04,"卷尺","",
zawuhourse_03_keyword05,"榔头","",
zawuhourse_03_keyword06,"一捆5号电池","",
zawuhourse_04,"这玩意能有啥用，我也不太会用呀。","",
zawuhourse_05,"这是修水管用的东西吧，应该也不太用得到","",
zawuhourse_06,"这个是用来量长度的吧？感觉和手电筒完全没关系。","",
zawuhourse_07,"还挺好玩的，可以拉长然后‘啪’一下缩回去！","",
zawuhourse_08,"不过现在可不是玩的时候……","",
zawuhourse_09,"这是一把十字螺丝刀，\n要是手电筒后盖拧不开，就可以用这个拧吧","",
zawuhourse_10,"不过这个手电筒是直接拧开的，应该用不上……","",
zawuhourse_11,"电池！就是这个了。\n装上这些，手电筒应该就能用了，赶紧试一试吧","",
zawuhourse_12,"榔头，难不成要拿来砸手电筒？","",
zawuhourse_13,"电池是电池，不过尺寸不符合装不上。","",
zawuhourse_14,"这个似乎没啥联系","",
zawuhourse_15,"这个螺丝刀应该可以把电池盖的螺丝拧开","",
zawuhourse_16,"现在不是调查这个的时候","",
loudao1f_01,"太黑了，不敢前进","",
loudao1f_02,"刚才好像捡到了一个手电筒，是不是可以用一下","",
camera01,"这里没有镜子，不能自拍","",
camera02,"用的是{0}，要在这里自拍吗","",
camera03_confirm,"确定","",
camera04_cancel,"取消","",
camera05_succuss,"拍摄成功了","",
yushi01,"墙上有一段用蜡笔写的文字","",
yushi02,"献给礼诗的诗歌：","",
yushi03,"天空星鱼梦碎离，化光沉入海洋底","",
yushi04,"魔法灯照星光起，星鱼复现原初形","",
yushi05,"献给我的诗歌？这个是什么意思呢","",
yushi06,"这里的瓷砖少了一片","",
yushi07,"从夹缝中发现一封信","",
letter_title,"一份给礼诗的信","",
letter_01,"哈喽，礼诗。\n当你看到这封信的时候，我应该已经不在你身边了吧。\n实在不知道怎么当面跟你说出口，\n所以只能通过写信这种方式跟你告别。","",
letter_02,"首先要跟你说一声对不起，\n咱们之前说好等咱们的 “病” 治好了就一起去游乐园玩，\n可这个约定，我恐怕没办法跟你一起实现了。","",
letter_03,"咱们的 “病” 比咱们之前想象的还要严重好多，\n医生发现了我的体内有这个病的抗体，\n虽然成功率不高，\n但或许能通过我的血液制作疫苗。","",
letter_04,"就算真的我因此死掉了也请你不要怨恨医生。\n是我自己主动要求的。\n如果真的能制作出疫苗治好你的”病“，\n那我的牺牲也没有白费。","",
letter_05,"对了，最后要跟你好好道个别\n拜拜啦，礼诗。希望你的病能快点治好\n以后能自由自在地生活，不再被病痛折磨，\n也希望你能好好记住我呢","",
uv_light_01,"礼诗打开了紫光灯……","",
uv_light_02,"但是没有出现什么效果","",
uv_light_03,"地板上发出了荧光，显示出了一条鱼的形状","",
uv_light_04,"礼诗关掉了紫光灯","",
uv_light_05,"哇，这是一张荧光画的拼图","",
room202_01,"有一张相片放在桌子上","",
room202_02,"上面是5个小孩子，相片背后从左到右写着","",
room202_03,"羽新，小爱，唯音，礼诗，晓翼","",
room202_04,"一只可爱的小熊，熊的后面有条拉链","",
room202_05,"小熊里面好像有什么东西？","",
room202_06,"有一个花瓶，上面插着红花与白花","",
room201_00_1,"桌子上放着一个本子，看样子像日记，要翻阅吗？","",
room201_00_2,"翻阅别人的日记感觉不太好呀...","",
room201_00_3,"...","",
room201_00_option_01,"打开阅读","",
room201_diary_title,"？？的日记","",
room201_diary_01,"今天始作医生带我到了新医院，\n这里冷清的根本不像医院。\n小哥哥帮我换了蓝色条纹病号服，\n我的爸爸妈妈都不在了，我要怎么办呀？","",
room201_diary_02,"每天都待在这里真的好无聊，哪里都不能去,\n幸好认识了跟我同房间的晓翼，\n他带着我数着步子探索医院，走到第245步时发现自动贩卖机。\n橘子味的汽水真的好好喝。","",
room201_diary_03,"晓翼带我去了一个看书的地方\n有个女孩总是坐在角落的地板上看书，\n晓翼跟她搭话她不会应的,\n感觉她真的好可爱。","",
room201_diary_04,"今天认识了唯音和小爱，\n她们来到了我和晓翼的房间来玩。\n唯音总是玩赖的，每次都把牌藏在袖子里，\n一起玩扑克很开心","",
room201_diary_05,"我突然感觉无法呼吸，随后就晕了过去了。\n醒来时，自己就躺在了始作医生的诊室里，\n始作医生告诉我马上就能好起来，\n是真的吗？","",
room201_diary_06,"晓翼说他给礼诗出一个谜题，\n一上午就在浴室里忙碌着，\n但傍晚回来后突然很失落，\n不知道发生了什么？","",
room201_diary_07,"晓翼的床空了，医生也不在了，大家都不在了。\n我在空荡荡的走廊里数着步子，\n数着数着忘记数……","",
room203_gift_01,"有一个包装盒放在书上，上面写着的内容是","",
room203_gift_02,"“魔法之灯——紫外线灯”","",
room203_gift_03,"啊，原来这个手电筒是紫外线灯呀","",
room203_gift_04,"话说回来，总感觉有点熟悉……","",
room203_gift_05,"盒子里好像还有什么东西！？","",
event_phantom_01,"来……快……快过来","",
event_phantom_02,"…………礼诗","",
event_phantom_03,"啊，又出现了！","",
event_phantom_04,"为什么知道我的名字？","",
event_phantom_05,"……","……",
event_phantom_06,"消失了","",
event_phantom_07,"这个电池是？","",
event_phantom_08,"唔……头好疼","",
